state,city_or_county,deaths
Texas,Houston,34
Illinois,Chicago,22
Louisiana,Baton Rouge,22
Texas,San Antonio,21
Michigan,Detroit,20
Arizona,Phoenix,18
Texas,Dallas,17
Missouri,Saint Louis,16
Tennessee,Memphis,15
Oklahoma,Tulsa,14
Indiana,Indianapolis,13
Wisconsin,Milwaukee,12
Georgia,Atlanta,11
Ohio,Columbus,11
Tennessee,Nashville,10
Texas,Lubbock,10
Pennsylvania,Pittsburgh,9
Texas,Fort Worth,9
Alabama,Birmingham,8
Pennsylvania,Philadelphia,8
Florida,Jacksonville,7
Florida,Tallahassee,7
Nevada,Las Vegas,7
New Mexico,Albuquerque,7
North Carolina,Charlotte,7
Ohio,Cincinnati,7
Ohio,Cleveland,7
Virginia,Richmond,7
Arizona,Tucson,6
Florida,Miami,6
Louisiana,New Orleans,6
Louisiana,Shreveport,6
South Carolina,Sumter,6
Alabama,Tuscaloosa,5
Colorado,Aurora,5
Florida,Orlando,5
Florida,West Palm Beach,5
Georgia,Columbus,5
Indiana,Evansville,5
Kansas,Topeka,5
Kansas,Wichita,5
Minnesota,Minneapolis,5
New York,Brooklyn,5
Ohio,Dayton,5
Ohio,Toledo,5
Oklahoma,Oklahoma City,5
Tennessee,Antioch,5
Texas,Spring,5
Alabama,Huntsville,4
Alabama,Mobile,4
Florida,Bradenton,4
Florida,Saint Petersburg,4
Florida,Tampa,4
Georgia,Augusta,4
Illinois,Decatur,4
Kentucky,Louisville,4
Michigan,Flint,4
Montana,Billings,4
New York,Corona (Queens),4
New York,New York (Manhattan),4
Texas,Arlington,4
Texas,Austin,4
Texas,Garland,4
Virginia,Petersburg,4
Alabama,Montgomery,3
California,Oakland,3
District of Columbia,Washington,3
Florida,Naples,3
Georgia,Brunswick,3
Georgia,Dublin,3
Georgia,Savannah,3
Georgia,Valdosta,3
Indiana,Elkhart,3
Iowa,Des Moines,3
Maryland,Baltimore,3
Massachusetts,Boston,3
Michigan,Grand Rapids,3
Michigan,Jackson,3
Michigan,Kalamazoo,3
Michigan,Lansing,3
Mississippi,Canton,3
Mississippi,Columbus,3
Mississippi,Gulfport,3
Mississippi,Horn Lake,3
Mississippi,Jackson,3
Mississippi,Laurel,3
Mississippi,Meridian,3
Missouri,Kansas City,3
Missouri,Springfield,3
New York,Bronx,3
New York,Syracuse,3
North Carolina,Durham,3
North Carolina,Fayetteville,3
North Carolina,Winston Salem (Winston-salem),3
Pennsylvania,Erie,3
Pennsylvania,Upper Darby,3
South Carolina,North Charleston,3
South Carolina,Rock Hill,3
Texas,Corpus Christi,3
Texas,El Paso,3
Texas,Humble,3
Texas,Humble (Atascocita),3
Alabama,Bessemer,2
Alabama,Decatur,2
Arizona,Glendale,2
Arizona,Mesa,2
Arizona,Tempe,2
California,Los Angeles,2
California,Oroville,2
California,San Diego,2
California,Victorville,2
Colorado,Denver,2
Florida,Belleview,2
Florida,Hollywood,2
Florida,Homestead,2
Florida,Homestead (Florida City),2
Florida,Miami Gardens,2
